target_x,target_y,target_z,feedback_x,feedback_y,feedback_z
959.987,232.174,1000,1003.57,182.521,999.873
958.824,233.122,1000,1002.95,183.285,999.871
957.656,234.063,1000,1001.7,184.806,999.866
956.483,234.998,1000,1001.07,185.563,999.864
955.306,235.928,1000,1000.44,186.318,999.861
954.124,236.851,1000,999.8,187.07,999.859
952.937,237.769,1000,999.161,187.821,999.857
951.746,238.68,1000,997.877,189.314,999.852
950.55,239.586,1000,997.231,190.058,999.85
949.35,240.486,1000,996.582,190.799,999.848
948.146,241.38,1000,995.931,191.538,999.845
946.936,242.267,1000,995.277,192.274,999.843
945.723,243.149,1000,993.961,193.74,999.838
944.505,244.025,1000,993.299,194.47,999.836
943.283,244.894,1000,992.635,195.197,999.834
942.056,245.757,1000,991.968,195.921,999.831
940.825,246.615,1000,990.626,197.363,999.827
939.59,247.466,1000,989.273,198.796,999.822
938.35,248.311,1000,987.91,200.218,999.817
937.107,249.149,1000,986.536,201.63,999.812
935.859,249.982,1000,985.845,202.333,999.809
934.607,250.808,1000,984.456,203.73,999.804
933.351,251.628,1000,983.057,205.118,999.799
932.091,252.441,1000,981.648,206.496,999.793
930.826,253.249,1000,980.231,207.866,999.787
929.558,254.05,1000,979.519,208.548,999.784
928.286,254.844,1000,978.09,209.905,999.778
927.01,255.632,1000,976.653,211.253,999.773
925.73,256.414,1000,975.21,212.595,999.768
924.446,257.19,1000,973.759,213.929,999.763
923.158,257.959,1000,973.031,214.593,999.76
921.866,258.721,1000,971.571,215.916,999.755
920.571,259.477,1000,970.104,217.231,999.751
919.271,260.227,1000,968.63,218.539,999.746
917.968,260.97,1000,967.891,219.19,999.744
916.662,261.707,1000,966.407,220.487,999.739
915.351,262.437,1000,964.917,221.776,999.734
914.037,263.16,1000,963.42,223.058,999.73
912.72,263.877,1000,962.669,223.695,999.728
911.399,264.587,1000,961.162,224.965,999.724
910.074,265.291,1000,959.648,226.227,999.72
908.746,265.988,1000,958.128,227.481,999.716
907.414,266.678,1000,957.365,228.104,999.714
906.079,267.362,1000,955.835,229.346,999.71
904.74,268.039,1000,954.297,230.578,999.706
903.398,268.71,1000,952.753,231.803,999.702
902.053,269.373,1000,951.978,232.412,999.7
900.705,270.03,1000,950.424,233.623,999.696
899.353,270.68,1000,948.863,234.826,999.692
897.998,271.324,1000,947.294,236.019,999.689
896.64,271.96,1000,946.508,236.613,999.687
895.278,272.59,1000,944.93,237.793,999.683
893.914,273.213,1000,943.344,238.964,999.68
892.546,273.829,1000,941.752,240.126,999.676
891.176,274.438,1000,940.954,240.704,999.674
889.802,275.041,1000,939.352,241.852,999.671
888.425,275.637,1000,937.743,242.99,999.667
887.046,276.225,1000,936.936,243.556,999.665
885.663,276.807,1000,935.317,244.68,999.662
884.277,277.382,1000,933.691,245.795,999.659
882.889,277.95,1000,932.876,246.349,999.657
881.498,278.511,1000,931.24,247.449,999.654
880.104,279.065,1000,929.598,248.539,999.65
878.707,279.612,1000,927.949,249.619,999.647
877.308,280.152,1000,927.122,250.155,999.646
875.906,280.685,1000,925.463,251.22,999.642
874.501,281.211,1000,923.798,252.274,999.639
873.094,281.73,1000,922.962,252.797,999.637
871.684,282.242,1000,921.286,253.836,999.634
870.271,282.747,1000,919.604,254.864,999.631
868.856,283.244,1000,918.76,255.374,999.629
867.439,283.735,1000,917.068,256.386,999.626
866.019,284.219,1000,915.37,257.387,999.622
864.597,284.695,1000,914.518,257.883,999.621
863.172,285.165,1000,912.81,258.868,999.618
861.745,285.627,1000,911.096,259.843,999.615
860.316,286.082,1000,910.236,260.326,999.613
858.884,286.53,1000,908.513,261.283,999.61
857.451,286.971,1000,906.783,262.229,999.606
856.015,287.405,1000,905.915,262.698,999.605
854.576,287.831,1000,904.176,263.628,999.602
853.136,288.251,1000,902.43,264.545,999.598
851.694,288.663,1000,901.555,265,999.597
850.25,289.067,1000,899.801,265.9,999.593
848.803,289.465,1000,898.04,266.789,999.59
847.355,289.855,1000,897.158,267.23,999.589
845.905,290.239,1000,895.388,268.101,999.585
844.453,290.615,1000,893.613,268.961,999.582
842.999,290.983,1000,892.724,269.386,999.581
841.543,291.345,1000,890.94,270.229,999.577
840.085,291.699,1000,890.046,270.645,999.576
838.626,292.045,1000,888.254,271.47,999.572
837.165,292.385,1000,886.457,272.282,999.569
835.702,292.717,1000,885.556,272.684,999.567
834.238,293.042,1000,883.75,273.479,999.564
832.772,293.359,1000,881.939,274.262,999.561
831.304,293.67,1000,881.032,274.649,999.559
829.835,293.972,1000,879.213,275.413,999.556
828.364,294.268,1000,878.302,275.79,999.555
826.892,294.556,1000,876.475,276.536,999.551
825.419,294.837,1000,874.643,277.269,999.548
823.944,295.11,1000,873.725,277.631,999.546
822.468,295.376,1000,871.886,278.346,999.543
820.99,295.635,1000,870.965,278.698,999.541
819.511,295.886,1000,869.118,279.394,999.538
818.031,296.13,1000,867.267,280.077,999.535
816.55,296.366,1000,866.34,280.414,999.533
815.068,296.596,1000,864.481,281.079,999.53
813.584,296.817,1000,863.551,281.407,999.528
812.099,297.031,1000,861.685,282.052,999.525
810.614,297.238,1000,859.816,282.685,999.521
809.127,297.438,1000,858.879,282.996,999.52
807.639,297.629,1000,857.003,283.609,999.516
806.151,297.814,1000,856.064,283.911,999.515
804.661,297.991,1000,854.181,284.505,999.511
803.171,298.161,1000,852.295,285.086,999.508
801.68,298.323,1000,851.351,285.371,999.506
800.188,298.477,1000,849.46,285.932,999.502
798.695,298.625,1000,848.514,286.207,999.5
797.201,298.764,1000,846.619,286.75,999.497
795.707,298.897,1000,845.67,287.016,999.496
794.213,299.021,1000,843.77,287.539,999.493
792.717,299.139,1000,841.866,288.049,999.49
791.221,299.248,1000,840.912,288.298,999.488
789.725,299.351,1000,839.001,288.788,999.484
788.228,299.446,1000,838.044,289.028,999.482
786.73,299.533,1000,836.127,289.499,999.479
785.232,299.613,1000,835.167,289.729,999.477
783.734,299.685,1000,833.245,290.181,999.474
782.236,299.75,1000,831.319,290.619,999.47
780.737,299.808,1000,830.355,290.833,999.468
779.237,299.858,1000,828.425,291.251,999.465
777.738,299.9,1000,827.459,291.455,999.463
776.238,299.935,1000,825.525,291.853,999.46
774.739,299.963,1000,824.556,292.047,999.458
773.239,299.983,1000,822.618,292.426,999.454
771.739,299.995,1000,821.648,292.61,999.453
770.239,300,1000,819.706,292.969,999.449
768.739,299.997,1000,818.734,293.143,999.447
767.239,299.987,1000,816.789,293.482,999.444
765.739,299.97,1000,814.841,293.807,999.44
764.239,299.945,1000,813.866,293.965,999.438
762.74,299.912,1000,811.915,294.271,999.435
761.24,299.872,1000,810.939,294.418,999.433
759.741,299.825,1000,808.985,294.704,999.43
758.242,299.769,1000,808.008,294.841,999.428
756.743,299.707,1000,806.051,295.106,999.424
